case,file,col,qtype,ref_peak,R,Z,EP,EM,ES,R_h64,peak_diff,tol_b6,tol_src,band_arith_h64,band_ladder,band_ens,n_ens,band,step_h1_h8,step_h8_h64,arith_h1,arith_h8,flat,std_ratio,maxpt_diff,orig_in_ens,band_ens_p90,iso_ok,band_ok,passed
2696,t25,6,ang_acc,7727.232,0.7308761456377594,0.9993471618362596,1.0,0.0,0.6556864045162774,0.6900328163518751,0.18982217694512085,0.1,B.6,2.847073829274767e-06,0.5997720787987212,1.1185698837565639,87,1.1185698837565639,0.5997720787987212,0.1239984770743262,0.7603759017459292,1.565890606107007e-05,False,0.020017457230989463,0.41375566308867134,True,0.8808207647965014,False,True,False
2696,t25,7,ang_acc,3667.21210091,0.7534073428738238,0.999156591216815,1.0,0.10011631784960617,0.6686072140858826,0.7092646602835075,0.2599449049247657,0.1,B.6,2.999553801984255e-06,0.4596758937345606,1.3941471042461184,87,1.3941471042461184,0.4596758937345606,0.02075773036992066,0.6321025171750461,1.6906575974904893e-05,False,0.02057149083905184,0.45764792267770393,True,1.0289053951334575,False,True,False
2696,t25,8,ang_acc,4072.99,0.7155860011019369,0.9980775033421628,0.991669443518827,0.2808282452026356,0.3092773101038958,0.7982431957647309,0.7437820863788029,0.1,B.6,5.892477025449909e-06,1.2624951202924635,1.992478989636606,87,1.992478989636606,1.2624951202924635,0.21326838514211915,1.700445618575052,3.461830252469965e-05,False,0.022417120037363035,1.7436134142239486,True,1.700273288174044,False,True,False
2696,t26,5,ang_vel,5.643,0.9208265782172136,0.9970162385750734,1.0,0.754676504077267,0.8554239098586535,0.9374631199104877,0.0024809498493709435,0.01,B.6,0.0,0.0023037391458443916,1.0373914584440902,93,1.0373914584440902,0.0023037391458443916,0.0014176856282119453,0.034024455077086686,0.0,False,0.07854906121711581,0.17012227538543329,True,0.38656742867269167,True,True,True
2696,t26,6,ang_vel,3.884,0.9006876046220158,0.9770130836970454,1.0,0.7652213313598891,0.7841905243560989,0.9276489574866003,0.009526261585993802,0.01,B.6,0.0,0.008496395468589062,2.274974253347065,93,2.274974253347065,0.008496395468589062,0.002832131822863059,0.024459320288362563,0.0,False,0.14962363379175941,0.5051493305870237,True,0.5273944387229652,True,True,True
2696,t26,7,ang_vel,3.139,0.927206100381616,0.9935762775489271,1.0,0.7955426670646937,0.8533352797455322,0.9400934490948605,0.008282892640968398,0.01,B.6,0.0,0.04045874482319203,3.2300095571838163,93,3.2300095571838163,0.04045874482319203,0.005734310289901177,0.05001592863969418,0.0,False,0.1221617891116974,0.26091111819050655,True,1.0617394074546036,True,True,True
2696,t26,8,ang_vel,6.986,0.9374857469680316,0.9978414113796253,1.0,0.87395338210457,0.8177925299763363,0.9432210552841218,0.005296306899513301,0.01,B.6,0.0,0.005439450329229798,1.3489836816490124,93,1.3489836816490124,0.005439450329229798,0.0021471514457485946,0.03149155453764669,0.0,False,0.10630717275219463,0.17191525908960786,True,0.34045233323790364,True,True,True
2696,t27,1,ang_disp,93.295,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,none,0.0,0.0,0.004909159118923826,93,0.004909159118923826,0.0,0.0,0.0,0.0,False,0.3432434166801355,0.0,True,0.0044160994694248555,True,True,True
2696,t27,4,ang_disp,93.295,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,none,0.0,0.0,0.004909159118923826,93,0.004909159118923826,0.0,0.0,0.0,0.0,False,0.3432434166801355,0.0,True,0.0044160994694248555,True,True,True
2696,t28,1,contact,47.354,0.987584234778145,0.9999634399634717,1.0,0.9944164212804888,0.9435778726832926,0.9810119943993195,0.0,0.0,none,0.0,0.0,0.0020695189424335637,93,0.0020695189424335637,0.0,0.0,0.0,0.0,False,0.39137769403062417,0.05397643282510453,True,0.0017907674114117965,True,True,True
2696,t28,2,contact,1777.45,0.7528976017450899,0.9961373912982484,1.0,0.34983760476266124,0.4223756213662916,0.8291191477931967,0.000978930490309156,0.0,none,0.0,0.018453402346057527,0.8884188022166586,93,0.8884188022166586,0.018453402346057527,0.006239275366395633,0.12462235224619539,0.0,False,0.02618828258609899,0.7814397029452306,True,0.6014661453205434,False,True,False
2696,t28,3,contact,1421.96,0.685571616098166,0.9966499911559188,1.0,0.0,0.43455809817899205,0.7651827135954109,0.029860192973079437,0.0,none,0.0,0.3309586767560269,1.1438929365101689,93,1.1438929365101689,0.295802976173732,0.03515570058229486,0.25528144251596385,0.00010548819938674594,False,0.024547086683950437,0.6487031984022054,True,0.7689119243860583,False,True,False
2696,t28,4,contact,2276.25,0.7465148535761891,0.9963106618944775,1.0,0.3112694672753695,0.4286834768166202,0.8208038755622084,0.010943437671608942,0.0,none,0.0,0.11584843492586493,0.9419044481054367,93,0.9419044481054367,0.0884261394838002,0.02742229544206473,0.2065326743547501,3.075233388255407e-05,False,0.02554294301034276,0.7325074135090609,True,0.6599898956617243,False,True,False
2696,t28,5,contact,2.304,0.4923886507474252,0.4334407814154113,1.0,0.0,0.5950616909063033,0.8907267776910627,0.2721354166666668,0.0,none,0.0,0.45312500000000006,0.8780381944444445,93,0.8780381944444445,0.45312500000000006,0.2769097222222222,0.31032986111111105,0.0034722222222222255,False,0.3262788272563993,0.7690972222222223,True,0.5223958333333325,False,True,False
2696,t28,6,contact,2.836,0.4713826626943072,0.4492478317083341,0.9983338887037654,0.1872957095019787,0.2727880518491236,0.8361348564725143,0.0003526093088858724,0.0,none,0.0,0.0007052186177714315,0.18159379407616366,93,0.18159379407616366,0.0007052186177714315,0.0,0.0014104372355430196,0.0,False,0.45342342230546373,0.8074753173483781,True,0.13575458392101544,False,True,False
2696,t28,7,contact,4.865,0.809253846645186,0.8473235944277414,1.0,0.834101142321304,0.517520902049143,0.8699036107016518,0.0008221993833505544,0.0,none,0.0,0.004110996916752407,0.42322713257965056,93,0.42322713257965056,0.004110996916752407,0.0006166495375128702,0.010483042137718428,0.0,False,0.23679088347630348,0.8696813977389516,True,0.26400822199383345,True,True,True
2696,t28,8,contact,27.636,0.9836035938248988,1.0,1.0,0.9971672105308503,0.9208507585936432,0.9780713024799382,0.00206252713851493,0.0,none,0.0,0.0023158199449992783,0.04942828195107829,93,0.04942828195107829,0.0023158199449992783,0.0005789549862498839,0.005319148936170286,0.0,False,0.41298619713018714,0.02301346070343041,True,0.035446519033145225,True,True,True
2696,t28,9,contact,54.3,1.0,1.0,1.0,1.0,1.0,0.997296718305994,0.0,0.0,none,0.0,0.0,0.14309392265193377,93,0.14309392265193377,0.0,0.0,0.0,0.0,False,0.3023153238681225,0.0,True,0.08946593001841616,True,True,True
2696,t28,10,contact,21.75,1.0,1.0,1.0,1.0,1.0,0.9971695349114259,0.0,0.0,none,0.0,0.00505747126436779,0.4974712643678161,93,0.4974712643678161,0.00505747126436779,0.0013793103448276386,0.0,0.0,False,0.23639753250740095,0.0,True,0.38887356321839056,True,True,True
2696,t28,11,contact,58.43,1.0,1.0,1.0,1.0,1.0,0.9972653210749838,0.0,0.0,none,0.0,0.0,0.14564436077357532,93,0.14564436077357532,0.0,0.0,0.0,0.0,False,0.29389276912587237,0.0,True,0.1100119801471845,True,True,True
2696,t28,12,contact,66.979,0.6003860703354031,0.48285591035507036,0.9966677774075309,0.18646002529936,0.853090728259984,0.6722429276755727,0.0007465026351542597,0.0,none,0.0,0.0024335985906029757,1.4973200555397959,93,1.4973200555397959,0.0024335985906029757,0.00131384463787148,0.007121635139371888,0.0,False,0.4398265795134135,0.4572925842428224,True,1.0394959614207429,False,True,False
2696,t28,13,contact,39.277,0.9445881060880287,0.9554722214443545,1.0,0.9308448509880729,0.8811512365633615,0.9263692381055199,0.003182524123532856,0.0,none,0.0,0.009038368510833233,2.7706291213687395,93,2.7706291213687395,0.009038368510833233,0.006721490948901286,0.029177381164549248,0.00010184077195317586,False,0.30469124037576073,0.20734781169641267,True,1.9331211650584297,True,True,True
2696,t28,14,contact,152.066,0.9621258524182927,0.9981303256733731,0.991669443518827,0.9290565185019123,0.8936426487239778,0.9816744953360639,0.03312377520287248,0.0,none,0.0,0.05193139820867268,0.7176554916943958,93,0.7176554916943958,0.05193139820867268,0.032834427156629514,0.057277760972209484,0.000374837241723909,False,0.42093074423259697,0.05537069430378906,True,0.5333710362605708,True,True,True
2696,t29,1,contact,26.997,0.9878809352787722,1.0,1.0,0.9992546138287237,0.9401500625651364,0.9816766338369676,0.00014816461088274014,0.0,none,0.0,0.0019631810941955503,0.05237618994703121,93,0.05237618994703121,0.0019631810941955503,0.0004074526799273709,0.003704115272067188,3.704115272058634e-05,False,0.4048374813845758,0.021187539356224867,True,0.03475200948253503,True,True,True
2696,t29,2,contact,116.92,1.0,1.0,1.0,1.0,1.0,0.9990148233132833,0.0,0.0,none,0.0,0.00034211426616495257,0.14659596305165914,93,0.14659596305165914,0.00034211426616495257,8.552856654126853e-05,0.0,0.0,False,0.24623690639209908,0.0,True,0.11830311323982204,True,True,True
